,Name,Average
0,Albury,41.462240758872376
1,Auburn,34.877515985610536
2,Ballina,44.22735770527149
3,Balmain,37.88943388020393
4,Bankstown,36.48335009236957
5,Barwon,41.60945620975875
6,Bathurst,40.84519037434525
7,Baulkham Hills,38.68550058118967
8,Bega,47.718221397473414
9,Blacktown,36.39910610448544
10,Blue Mountains,42.37795816509646
11,Cabramatta,38.08092973210901
12,Camden,35.386141532322064
13,Campbelltown,36.56767246299608
14,Canterbury,39.13251451490121
15,Castle Hill,37.20157340248287
16,Cessnock,38.622538849962815
17,Charlestown,40.884565733401814
18,Clarence,44.7456163023221
19,Coffs Harbour,42.59935023098329
20,Coogee,38.30443565356452
21,Cootamundra,43.23885878272014
22,Cronulla,40.46753563823294
23,Davidson,40.770080590571794
24,Drummoyne,39.70140697630946
25,Dubbo,39.56502716539546
26,East Hills,39.12638179584977
27,Epping,40.55786313023896
28,Fairfield,37.65737802915345
29,Gosford,43.13998049995938
30,Goulburn,42.36870240090809
31,Granville,35.3966284113997
32,Hawkesbury,38.583022236649896
33,Heathcote,39.09291483354127
34,Heffron,35.044570035886316
35,Holsworthy,35.687391891571686
36,Hornsby,39.16833286932753
37,Keira,40.318751275770566
38,Kiama,42.51550137478256
39,Kogarah,38.39151712887439
40,Ku-ring-gai,40.254166510851
41,Lake Macquarie,43.25815030040382
42,Lakemba,35.672469304229196
43,Lane Cove,39.53190813971944
44,Lismore,43.18398203997728
45,Liverpool,35.0626549915509
46,Londonderry,35.465268248055935
47,Macquarie Fields,36.088474364318465
48,Maitland,37.56961451247165
49,Manly,38.13993152816682
50,Maroubra,39.75420368602688
51,Miranda,41.112227286211265
52,Monaro,39.216688372337764
53,Mount Druitt,34.35867666121851
54,Mulgoa,35.22256887720634
55,Murray,41.711234139045686
56,Myall Lakes,47.06218425903776
57,Newcastle,40.73960121115716
58,Newtown,36.53955088003237
59,North Shore,41.00882642232231
60,Northern Tablelands,40.80874558303887
61,Oatley,40.44995348471547
62,Orange,39.95693251691249
63,Oxley,44.90005903106682
64,Parramatta,36.41020386255624
65,Penrith,37.861213351948216
66,Pittwater,42.72666740650316
67,Port Macquarie,46.779800079311904
68,Port Stephens,43.773886242645
69,Prospect,38.23223485358362
70,Riverstone,33.383076272506734
71,Rockdale,39.137488978606896
72,Ryde,38.32540903370158
73,Seven Hills,38.039150669682506
74,Shellharbour,40.046911360921975
75,South Coast,46.03647398927066
76,Strathfield,37.540201994402054
77,Summer Hill,39.25879086983343
78,Swansea,43.47354319221166
79,Sydney,38.023128368024196
80,Tamworth,40.6899729982345
81,Terrigal,42.65398340192232
82,The Entrance,41.62540903925407
83,Tweed,45.48019223446302
84,Upper Hunter,39.84336727263098
85,Vaucluse,39.47138220144624
86,Wagga Wagga,38.98192912768515
87,Wakehurst,39.49861586884251
88,Wallsend,39.03412677782316
89,Willoughby,38.55131591359306
90,Wollondilly,40.53485939574365
91,Wollongong,40.575655317866826
92,Wyong,40.52921884317233
93,No usual address (NSW),41.160481770833336
94,Migratory - Offshore - Shipping (NSW),53.53221957040573
95,,
