,Name,Fed_ChildAverage
1,Banks,0.6066147210597931
2,Barton,0.5064506051419712
3,Bennelong,0.5276653171390013
4,Berowra,0.6584695311854036
5,Blaxland,0.617867184323696
6,Bradfield,0.6122457894178508
7,Calare,0.7209078847846843
8,Chifley,0.676848602343928
9,Cook,0.6400906083704876
10,Cowper,0.7739546327563048
11,Cunningham,0.6423758374576042
12,Dobell,0.7279359742443027
13,Eden-Monaro,0.6902502507930482
14,Farrer,0.7547093870631354
15,Fowler,0.6652784120315401
16,Gilmore,0.7786153488217502
17,Grayndler,0.3975213023529569
18,Greenway,0.5868005738880918
19,Hughes,0.6418898314482147
20,Hume,0.6894910483726426
21,Hunter,0.724272302864869
22,Kingsford Smith,0.4395796450133914
23,Lindsay,0.6484473989202952
24,Lyne,0.8148336541105307
25,Macarthur,0.6630354277249723
26,Mackellar,0.6324937587058483
27,Macquarie,0.6823339767111375
28,McMahon,0.6700423061371057
29,Mitchell,0.6272401433691757
30,New England,0.7512630766536738
31,Newcastle,0.5890525600036614
32,North Sydney,0.4663703226765063
33,Page,0.7820900400359506
34,Parkes,0.7517851336411524
35,Parramatta,0.5121186749962431
36,Paterson,0.7228204996401768
37,Reid,0.4616122681930222
38,Richmond,0.7188560666008331
39,Riverina,0.778528788754092
40,Robertson,0.708551422441806
41,Shortland,0.7433815743028591
42,Sydney,0.2088280988515279
43,Warringah,0.5201107687295533
44,Watson,0.5896216970716276
45,Wentworth,0.415547577285683
46,Werriwa,0.6632651867108235
47,Whitlam,0.7385950972215838
