,Name,Fed_EduProportion
1,Banks,0.49338271161202535
2,Barton,0.5374829333765302
3,Bennelong,0.5984563297582688
4,Berowra,0.5326530331009013
5,Blaxland,0.42701551253199566
6,Bradfield,0.6105297314837349
7,Calare,0.2949013626951357
8,Chifley,0.392710115561369
9,Cook,0.4597871422407594
10,Cowper,0.29456697756744205
11,Cunningham,0.4123219698676157
12,Dobell,0.30312274848600895
13,Eden-Monaro,0.37286825908955346
14,Farrer,0.2776236271275331
15,Fowler,0.3995433372910768
16,Gilmore,0.30564695715757634
17,Grayndler,0.5916302152306807
18,Greenway,0.4649551943928311
19,Hughes,0.4475146928365491
20,Hume,0.3183154876097794
21,Hunter,0.2642797010127809
22,Kingsford Smith,0.5704866312587952
23,Lindsay,0.33744678040197684
24,Lyne,0.25901154797910364
25,Macarthur,0.3630230835699296
26,Mackellar,0.4964503690943226
27,Macquarie,0.38756796119936937
28,McMahon,0.38798529846647795
29,Mitchell,0.5183186705767351
30,New England,0.2977942368682185
31,Newcastle,0.4279269560441716
32,North Sydney,0.6383509571333053
33,Page,0.28364559698819036
34,Parkes,0.25661052220849323
35,Parramatta,0.5296794830510294
36,Paterson,0.2701243960111031
37,Reid,0.5933707202214539
38,Richmond,0.3467768832850482
39,Riverina,0.2843057962642018
40,Robertson,0.37540444028260156
41,Shortland,0.30785628759092765
42,Sydney,0.6869202064152583
43,Warringah,0.5816580015475044
44,Watson,0.47721201096065946
45,Wentworth,0.6288505810129358
46,Werriwa,0.4004833066129919
47,Whitlam,0.3040628837478083
