,Name,Party won
0,Albury,LNP
1,Auburn,ALP
2,Ballina,Green
3,Balmain,Green
4,Bankstown,ALP
5,Barwon,Shooters Fishers and Farmers
6,Bathurst,LNP
7,Baulkham Hills,LNP
8,Bega,LNP
9,Blacktown,ALP
10,Blue Mountains,ALP
11,Cabramatta,ALP
12,Camden,LNP
13,Campbelltown,ALP
14,Canterbury,ALP
15,Castle Hill,LNP
16,Cessnock,ALP
17,Charlestown,ALP
18,Clarence,LNP
19,Coffs Harbour,LNP
20,Coogee,ALP
21,Cootamundra,LNP
22,Cronulla,LNP
23,Davidson,LNP
24,Drummoyne,LNP
25,Dubbo,LNP
26,East Hills,LNP
27,Epping,LNP
28,Fairfield,ALP
29,Gosford,ALP
30,Goulburn,LNP
31,Granville,ALP
32,Hawkesbury,LNP
33,Heathcote,LNP
34,Heffron,ALP
35,Holsworthy,LNP
36,Hornsby,LNP
37,Keira,ALP
38,Kiama,LNP
39,Kogarah,ALP
40,Ku-ring-gai,LNP
41,Lake Macquarie,Independent
42,Lakemba,ALP
43,Lane Cove,LNP
44,Lismore,ALP
45,Liverpool,ALP
46,Londonderry,ALP
47,Macquarie Fields,ALP
48,Maitland,ALP
49,Manly,LNP
50,Maroubra,ALP
51,Miranda,LNP
52,Monaro,LNP
53,Mount Druitt,ALP
54,Mulgoa,LNP
55,Murray,Shooters Fishers and Farmers
56,Myall Lakes,LNP
57,Newcastle,ALP
58,Newtown,Greens
59,North Shore,LNP
60,Northern Tablelands,LNP
61,Oatley,LNP
62,Orange,LNP
63,Oxley,Shooters Fishers and Farmers
64,Parramatta,LNP
65,Penrith,LNP
66,Pittwater,LNP
67,Port Macquarie,LNP
68,Port Stephens,ALP
69,Prospect,ALP
70,Riverstone,LNP
71,Rockdale,ALP
72,Ryde,LNP
73,Seven Hills,LNP
74,Shellharbour,ALP
75,South Coast,LNP
76,Strathfield,ALP
77,Summer Hill,ALP
78,Swansea,ALP
79,Sydney,Independent
80,Tamworth,LNP
81,Terrigal,LNP
82,The Entrance,ALP
83,Tweed,LNP
84,Upper Hunter,LNP
85,Vaucluse,LNP
86,Wagga Wagga,Independent
87,Wakehurst,LNP
88,Wallsend,ALP
89,Willoughby,LNP
90,Wollondilly,LNP
91,Wollongong,ALP
92,Wyong,ALP
