,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over,Total
,,,,,,,,,,,,
Banks,"18,691","18,151","22,241","21,748","20,583","20,741","15,790","9,934","6,299","1,598",29,"155,804"
Barton,"19,452","17,156","31,858","29,766","22,444","19,437","14,988","10,013","6,250","1,476",17,"172,852"
Bennelong,"19,925","18,098","27,798","27,258","22,309","20,644","15,847","9,380","6,130","1,548",23,"168,948"
Berowra,"17,797","20,761","15,083","15,056","21,768","21,297","16,515","10,264","5,091","1,478",20,"145,132"
Blaxland,"25,742","22,451","30,281","26,138","21,000","19,959","14,539","8,445","4,813","1,231",18,"174,633"
Bradfield,"20,464","22,858","16,720","20,002","23,948","20,914","15,445","10,892","6,938","2,044",26,"160,251"
Calare,"21,609","20,777","18,784","18,375","20,545","21,537","19,411","12,847","6,147","1,234",36,"161,298"
Chifley,"27,134","24,644","25,080","25,854","22,032","19,858","14,850","7,734","3,302",760,5,"171,251"
Cook,"16,721","16,067","16,028","17,756","19,868","18,448","15,221","10,564","6,782","1,587",18,"139,060"
Cowper,"17,912","18,621","14,604","15,071","18,877","22,937","23,775","16,824","8,611","2,054",36,"159,322"
Cunningham,"18,311","18,725","23,263","19,153","20,292","20,080","16,279","11,152","6,606","1,491",25,"155,381"
Dobell,"19,818","19,880","17,242","17,772","19,978","19,880","18,020","12,594","7,076","1,764",37,"154,063"
Eden-Monaro,"17,479","17,741","14,658","16,325","20,646","22,505","20,193","11,587","5,239","1,130",25,"147,532"
Farrer,"20,809","20,727","18,159","17,913","20,127","22,435","20,892","14,100","7,235","1,536",39,"163,981"
Fowler,"20,909","21,607","24,771","22,135","21,513","22,067","16,644","8,826","4,765",975,17,"164,235"
Gilmore,"15,785","16,499","13,176","13,800","17,053","21,723","24,996","17,509","8,281","1,580",24,"150,435"
Grayndler,"17,122","11,514","24,975","29,070","24,104","17,819","12,940","7,225","3,891",850,12,"149,514"
Greenway,"27,301","22,092","22,219","30,568","24,657","18,772","13,896","6,949","3,081",525,9,"170,068"
Hughes,"20,264","18,977","17,035","19,051","21,216","19,106","14,830","8,643","4,085","1,062",22,"144,288"
Hume,"20,936","20,460","17,373","18,509","21,070","19,878","17,053","9,960","4,389",993,21,"150,643"
Hunter,"20,683","19,797","18,495","18,890","20,174","20,564","18,711","11,922","6,136","1,413",12,"156,796"
Kingsford Smith,"18,852","18,136","35,790","29,959","23,496","18,989","14,453","9,799","5,558","1,187",13,"176,232"
Lindsay,"24,633","21,548","24,666","25,283","22,255","19,581","15,990","8,306","3,480",784,9,"166,527"
Lyne,"15,335","16,817","11,122","11,933","17,011","21,361","24,421","17,743","8,125","1,575",33,"145,480"
Macarthur,"24,784","22,209","23,662","24,144","20,744","19,902","15,852","7,540","2,715",465,3,"162,020"
Mackellar,"19,235","18,452","14,339","17,400","22,622","20,129","16,299","11,926","6,290","1,902",25,"148,607"
Macquarie,"17,611","18,672","15,434","15,706","20,092","20,366","17,951","10,247","4,390",956,20,"141,441"
McMahon,"23,846","21,348","24,546","24,180","21,403","20,557","15,702","8,938","4,302",870,10,"165,697"
Mitchell,"22,235","21,589","16,439","21,058","24,016","19,098","15,387","9,160","3,697",764,6,"153,450"
New England,"19,486","20,250","17,431","16,465","18,683","20,911","19,716","13,562","6,413","1,229",35,"154,187"
Newcastle,"17,822","16,932","25,845","21,059","19,846","19,383","15,468","9,487","5,562","1,523",29,"152,949"
North Sydney,"19,325","15,704","22,276","30,189","23,998","18,811","15,382","9,267","5,014","1,536",26,"161,524"
Page,"18,323","19,583","14,340","15,311","19,632","24,251","24,113","14,663","7,308","1,545",41,"159,107"
Parkes,"21,883","18,236","18,186","17,484","18,673","21,437","18,268","12,383","6,071","1,122",25,"153,770"
Parramatta,"26,795","18,466","31,536","39,136","22,980","19,461","14,216","8,339","4,376","1,009",18,"186,324"
Paterson,"21,180","19,276","18,476","18,611","19,701","20,031","19,030","12,717","5,507","1,096",16,"155,632"
Reid,"19,613","16,577","36,728","33,779","23,140","20,635","15,048","9,003","5,400","1,392",28,"181,347"
Richmond,"16,710","16,933","12,833","16,020","19,873","22,806","22,738","14,670","8,280","2,014",37,"152,911"
Riverina,"20,475","20,240","18,325","17,298","18,644","20,504","19,120","12,975","6,676","1,504",35,"155,790"
Robertson,"16,733","16,749","14,877","15,725","18,989","19,986","18,142","13,027","7,128","1,721",24,"143,099"
Shortland,"17,557","17,591","15,362","16,165","18,746","19,567","18,217","13,368","6,676","1,230",7,"144,483"
Sydney,"10,757","11,261","64,555","49,157","24,219","17,921","12,613","6,457","2,789",444,4,"200,179"
Warringah,"19,172","16,350","16,602","23,634","23,774","18,626","13,646","9,276","4,864","1,365",22,"147,334"
Watson,"24,646","21,455","27,873","27,323","22,398","20,524","14,543","9,362","5,482","1,178",14,"174,807"
Wentworth,"15,838","12,318","22,700","29,219","21,121","16,015","13,151","8,895","4,925","1,720",50,"145,952"
Werriwa,"25,838","26,449","23,576","24,274","23,876","21,616","14,140","7,339","3,219",571,4,"170,906"
Whitlam,"19,184","19,988","16,514","17,228","19,611","20,362","18,344","13,377","6,456","1,202",16,"152,281"
