District,Party won
Albury,LNP
Auburn,Labor
Ballina,Green
Balmain,Green
Bankstown,Labor
Barwon,Shooters Fishers and Farmers
Bathurst,LNP
Baulkham Hills,LNP
Bega,LNP
Blacktown,Labor
Blue Mountains,Labor
Cabramatta,Labor
Camden,LNP
Campbelltown,Labor
Canterbury,Labor
Castle Hill,LNP
Cessnock,Labor
Charlestown,Labor
Clarence,LNP
Coffs Harbour,LNP
Coogee,Labor
Cootamundra,LNP
Cronulla,LNP
Davidson,LNP
Drummoyne,LNP
Dubbo,LNP
East Hills,LNP
Epping,LNP
Fairfield,Labor
Gosford,Labor
Goulburn,LNP
Granville,Labor
Hawkesbury,LNP
Heathcote,LNP
Heffron,Labor
Holsworthy,LNP
Hornsby,LNP
Keira,Labor
Kiama,LNP
Kogarah,Labor
Ku-ring-gai,LNP
Lake Macquarie,Independent
Lakemba,Labor
Lane Cove,LNP
Lismore,Labor
Liverpool,Labor
Londonderry,Labor
Macquarie Fields,Labor
Maitland,Labor
Manly,LNP
Maroubra,Labor
Miranda,LNP
Monaro,LNP
Mount Druitt,Labor
Mulgoa,LNP
Murray,Shooters Fishers and Farmers
Myall Lakes,LNP
Newcastle,Labor
Newtown,Greens
North Shore,LNP
Northern Tablelands,LNP
Oatley,LNP
Orange,LNP
Oxley,Shooters Fishers and Farmers
Parramatta,LNP
Penrith,LNP
Pittwater,LNP
Port Macquarie,LNP
Port Stephens,Labor
Prospect,Labor
Riverstone,LNP
Rockdale,Labor
Ryde,LNP
Seven Hills,LNP
Shellharbour,Labor
South Coast,LNP
Strathfield,Labor
Summer Hill,Labor
Swansea,Labor
Sydney,Independent
Tamworth,LNP
Terrigal,LNP
The Entrance,Labor
Tweed,LNP
Upper Hunter,LNP
Vaucluse,LNP
Wagga Wagga,Independent
Wakehurst,LNP
Wallsend,Labor
Willoughby,LNP
Wollondilly,LNP
Wollongong,Labor
Wyong,Labor
