Name,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Total
Albury,"7,994","3,203","8,128","6,118","2,758",967,412,152,166,"29,910"
Auburn,"13,888","5,781","7,611","4,002","2,081",991,484,237,293,"35,371"
Ballina,"7,814","3,806","8,512","5,328","2,141",583,236,95,64,"28,583"
Balmain,"18,379","4,746","6,702","2,460",700,210,78,50,49,"33,364"
Bankstown,"9,801","4,290","7,562","4,657","2,304","1,071",531,250,315,"30,777"
Barwon,"6,140","2,788","7,367","5,722","2,992","1,128",533,216,217,"27,100"
Bathurst,"7,661","3,203","8,016","5,574","2,607",878,359,147,131,"28,583"
Baulkham Hills,"8,923","4,360","10,797","4,848","1,419",352,121,54,44,"30,912"
Bega,"6,156","3,154","8,770","5,734","2,612",857,312,118,113,"27,825"
Blacktown,"10,175","5,164","8,607","4,820","2,220",880,374,166,195,"32,608"
Blue Mountains,"8,632","3,749","8,518","4,999","1,909",632,237,81,76,"28,831"
Cabramatta,"10,602","3,833","8,190","4,811","2,249",948,468,264,424,"31,781"
Camden,"9,410","4,024","9,706","5,924","2,269",695,227,94,73,"32,415"
Campbelltown,"8,815","3,767","7,607","5,090","2,494","1,000",457,198,196,"29,621"
Canterbury,"12,330","5,667","9,119","4,153","1,657",610,262,129,122,"34,048"
Castle Hill,"8,699","3,663","10,235","5,421","1,678",451,177,67,58,"30,457"
Cessnock,"7,120","3,542","8,581","5,481","2,276",711,291,127,104,"28,237"
Charlestown,"7,800","3,377","9,234","5,467","1,910",553,186,85,68,"28,682"
Clarence,"6,120","2,937","8,220","6,111","3,006","1,067",451,168,163,"28,246"
Coffs Harbour,"7,071","3,356","8,490","5,697","2,394",777,305,131,101,"28,328"
Coogee,"17,061","4,713","7,097","2,825",758,182,74,30,32,"32,767"
Cootamundra,"5,790","2,515","6,681","5,904","3,337","1,276",519,227,172,"26,417"
Cronulla,"9,275","3,153","9,136","5,286","1,712",373,109,44,41,"29,136"
Davidson,"8,604","3,718","10,756","5,608","1,563",384,106,31,26,"30,794"
Drummoyne,"13,518","5,149","8,672","3,833","1,129",302,99,45,29,"32,774"
Dubbo,"7,039","3,036","7,361","5,776","2,827","1,011",451,181,157,"27,826"
East Hills,"9,177","3,792","8,716","4,932","2,030",682,260,123,130,"29,849"
Epping,"9,975","4,584","10,887","4,722","1,510",343,110,44,56,"32,226"
Fairfield,"10,788","4,088","7,840","4,865","2,528","1,172",587,350,450,"32,663"
Gosford,"8,639","4,025","8,722","5,027","2,019",641,223,92,79,"29,459"
Goulburn,"7,561","3,216","8,103","5,750","2,556",835,317,147,119,"28,604"
Granville,"11,097","5,372","7,576","4,279","2,259",990,445,222,243,"32,489"
Hawkesbury,"8,259","3,161","7,880","5,385","2,125",647,260,95,75,"27,893"
Heathcote,"8,765","3,660","9,665","5,382","1,640",439,138,59,48,"29,804"
Heffron,"25,499","5,280","6,676","2,488",796,266,106,61,52,"41,213"
Holsworthy,"9,215","3,813","9,248","5,247","2,017",733,294,131,159,"30,858"
Hornsby,"9,481","4,457","9,788","4,929","1,523",407,142,58,49,"30,830"
Keira,"8,963","3,495","9,779","5,789","1,898",610,228,83,65,"30,906"
Kiama,"6,794","2,936","8,710","5,683","2,213",690,203,84,63,"27,376"
Kogarah,"14,562","6,674","9,246","3,843","1,398",453,200,80,101,"36,553"
Ku-ring-gai,"9,834","4,630","10,363","5,101","1,548",377,132,42,43,"32,068"
Lake Macquarie,"7,098","3,278","8,773","5,738","2,269",728,290,99,92,"28,371"
Lakemba,"10,360","4,595","7,134","4,742","2,561","1,217",560,302,329,"31,805"
Lane Cove,"12,570","4,790","8,756","4,228","1,275",331,135,36,41,"32,157"
Lismore,"7,412","3,243","7,640","5,622","2,633",930,392,187,139,"28,194"
Liverpool,"10,128","4,258","8,334","4,974","2,514","1,091",484,245,311,"32,344"
Londonderry,"9,714","4,429","8,058","5,520","2,741","1,113",587,249,239,"32,654"
Macquarie Fields,"9,549","4,492","9,266","5,031","2,137",842,320,161,159,"31,959"
Maitland,"7,862","3,509","8,889","5,630","2,264",730,290,118,118,"29,414"
Manly,"12,343","4,064","8,541","4,072","1,174",238,73,41,28,"30,568"
Maroubra,"11,606","4,579","8,999","4,001","1,307",360,150,73,55,"31,132"
Miranda,"8,627","3,845","9,803","5,168","1,558",426,145,48,38,"29,668"
Monaro,"8,823","3,563","7,934","4,831","1,861",571,216,89,85,"27,970"
Mount Druitt,"9,718","4,344","8,123","5,334","2,657","1,066",547,240,287,"32,321"
Mulgoa,"9,153","3,329","9,034","5,514","2,099",609,228,103,117,"30,185"
Murray,"6,992","2,898","7,920","6,689","3,342","1,142",432,219,154,"29,787"
Myall Lakes,"6,060","2,912","8,773","6,224","2,879",950,359,129,104,"28,372"
Newcastle,"11,301","3,536","7,406","3,938","1,451",448,170,78,55,"28,378"
Newtown,"23,276","3,619","4,034","1,422",489,168,78,27,54,"33,173"
North Shore,"16,726","4,387","6,862","3,323",945,224,61,33,34,"32,590"
Northern Tablelands,"8,052","3,088","7,581","5,934","2,824","1,089",468,212,191,"29,437"
Oatley,"9,987","4,505","9,423","4,466","1,538",434,161,78,66,"30,670"
Orange,"7,346","3,008","7,813","6,117","2,846","1,039",441,187,167,"28,970"
Oxley,"6,118","3,106","8,061","5,823","2,822","1,063",387,178,130,"27,691"
Parramatta,"14,576","7,803","9,515","3,908","1,413",510,231,90,100,"38,142"
Penrith,"8,984","3,912","8,677","5,190","2,174",788,284,129,103,"30,248"
Pittwater,"8,036","3,424","9,680","5,109","1,580",363,91,32,37,"28,353"
Port Macquarie,"6,942","3,424","9,445","6,195","2,521",801,262,93,65,"29,751"
Port Stephens,"6,371","3,023","8,816","5,766","2,325",703,261,95,62,"27,417"
Prospect,"8,848","4,158","9,065","5,083","2,051",773,335,170,214,"30,702"
Riverstone,"9,624","4,841","10,687","4,679","1,618",489,185,72,66,"32,268"
Rockdale,"13,988","5,325","8,420","3,814","1,356",430,182,72,91,"33,677"
Ryde,"16,721","6,259","9,242","3,790","1,234",399,185,67,53,"37,942"
Seven Hills,"9,943","5,127","9,725","4,574","1,699",610,218,100,82,"32,077"
Shellharbour,"7,931","3,636","10,107","6,225","2,420",842,280,117,110,"31,671"
South Coast,"6,028","3,100","8,415","5,816","2,566",798,324,109,75,"27,238"
Strathfield,"16,958","6,044","8,426","3,682","1,339",465,204,95,88,"37,305"
Summer Hill,"15,969","5,056","7,046","2,794","1,029",372,140,76,108,"32,591"
Swansea,"6,564","3,208","9,378","6,052","2,218",643,233,109,58,"28,468"
Sydney,"25,861","4,244","4,125","1,649",550,141,48,26,22,"36,662"
Tamworth,"6,963","3,187","8,139","6,032","2,774","1,001",401,147,154,"28,799"
Terrigal,"7,478","3,246","9,787","5,963","2,056",555,199,74,45,"29,407"
The Entrance,"7,504","3,543","9,016","5,559","2,134",686,260,105,85,"28,894"
Tweed,"7,552","3,834","9,521","5,954","2,426",764,280,111,82,"30,515"
Upper Hunter,"6,613","2,842","7,868","5,909","2,577",884,341,149,129,"27,311"
Vaucluse,"14,947","4,099","7,395","3,721",965,195,89,43,30,"31,489"
Wagga Wagga,"8,415","2,930","7,481","5,672","2,741","1,020",440,179,169,"29,056"
Wakehurst,"9,940","4,244","9,678","4,825","1,453",387,110,57,43,"30,730"
Wallsend,"10,678","3,927","9,188","5,170","1,930",647,222,73,92,"31,919"
Willoughby,"14,264","5,618","9,077","3,777","1,051",271,88,46,39,"34,225"
Wollondilly,"7,789","3,159","8,477","5,773","2,243",689,239,94,56,"28,520"
Wollongong,"11,354","3,714","8,679","5,226","2,086",729,287,156,96,"32,315"
Wyong,"7,656","3,651","8,523","5,790","2,530",847,318,138,98,"29,551"
No usual address (NSW),"1,746",350,645,411,184,61,37,16,13,"3,455"
Migratory - Offshore - Shipping (NSW),41,18,63,35,21,6,0,0,0,185
,,,,,,,,,,
